CPN,Part Name,Qty,Source,Mfg Part #,Price,Link
30-0003,ALTAVOZ MONO 3W 4Ω,1,TiendaTec,SPK3W4O-M-PH,4.95,https://www.tiendatec.es/electronica/componentes/altavoces/1208-altavoz-mono-3w-4ohm-conector-jst-ph-8472496016704.html
10-2002,Raspberry Pi 3 Model A+,1,Raspipc,1742,30.07,https://www.raspipc.es/1742
20-0004,ReSpeaker 2-Mics Pi HAT v2.0,1,Kiwi Electronics,107100001,12.49,https://www.kiwi-electronics.com/en/respeaker-2-mics-pi-hat-3140?srsltid=AfmBOopP-I0Ix-hbmzusB6pcVNzo49Kc9_tiNqGXWcy3C1s2k7VmJqBq
30-0004,R04S Ventilador sin escobillas 3 pines 12V 60x60x15mm,1,Amazon,B09DYZ4X6W,8.99,https://www.amazon.es/R04S-Ventilador-escobillas-ordenador-pines/dp/B09DYZ4X6W/ref=asc_df_B09DYZ4X6W?mcid=f396c9600e273b759759126fd7635c28&tag=googshopes-21&linkCode=df0&hvadid=699763564555&hvpos=&hvnetw=g&hvrand=8475992437055690822&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9198962&hvtargid=pla-1529179504942&psc=1&hvocijid=8475992437055690822-B09DYZ4X6W-&hvexpln=0
